,User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion
0,1,25.0,Female,Instagram,120.0,3.0,45.0,10.0,12.0,Happiness
1,2,30.0,Male,Twitter,90.0,5.0,20.0,25.0,30.0,Anger
2,3,22.0,Non-binary,Facebook,60.0,2.0,15.0,5.0,20.0,Neutral
3,4,28.0,Female,Instagram,200.0,8.0,100.0,30.0,50.0,Anxiety
4,5,33.0,Male,LinkedIn,45.0,1.0,5.0,2.0,10.0,Boredom
5,6,21.0,Male,Instagram,150.0,4.0,60.0,15.0,25.0,Happiness
6,7,27.0,Female,Twitter,85.0,3.0,30.0,10.0,18.0,Anger
7,8,24.0,Non-binary,Facebook,110.0,6.0,25.0,12.0,22.0,Sadness
8,9,29.0,Female,LinkedIn,55.0,2.0,10.0,3.0,8.0,Neutral
9,10,31.0,Male,Instagram,170.0,5.0,80.0,20.0,35.0,Happiness
10,11,23.0,Female,Twitter,75.0,4.0,35.0,7.0,20.0,Anxiety
11,12,26.0,Non-binary,Facebook,95.0,3.0,20.0,10.0,18.0,Sadness
12,13,34.0,Male,LinkedIn,65.0,1.0,12.0,4.0,15.0,Boredom
13,14,22.0,Female,Instagram,180.0,7.0,90.0,25.0,40.0,Happiness
14,15,28.0,Male,Twitter,100.0,6.0,40.0,23.0,28.0,Anger
15,16,21.0,Non-binary,Facebook,40.0,1.0,5.0,2.0,10.0,Neutral
16,17,35.0,Female,Instagram,125.0,4.0,55.0,18.0,30.0,Anxiety
17,18,27.0,Male,Twitter,90.0,3.0,33.0,15.0,25.0,Sadness
18,19,23.0,Non-binary,LinkedIn,50.0,1.0,8.0,3.0,12.0,Neutral
19,20,32.0,Female,Instagram,140.0,5.0,70.0,22.0,33.0,Happiness
20,21,26.0,Male,Facebook,75.0,2.0,25.0,10.0,18.0,Anxiety
21,22,24.0,Female,Twitter,105.0,4.0,28.0,14.0,20.0,Anger
22,23,29.0,Male,LinkedIn,60.0,2.0,11.0,5.0,17.0,Boredom
23,24,33.0,Non-binary,Instagram,190.0,8.0,95.0,26.0,45.0,Happiness
24,25,22.0,Female,Twitter,70.0,3.0,20.0,12.0,15.0,Sadness
25,26,31.0,Male,Facebook,80.0,2.0,18.0,8.0,21.0,Neutral
26,27,27.0,Non-binary,LinkedIn,55.0,1.0,9.0,2.0,11.0,Anxiety
27,28,25.0,Female,Instagram,160.0,6.0,85.0,19.0,32.0,Happiness
28,29,30.0,Male,Twitter,90.0,4.0,38.0,17.0,24.0,Anger
29,30,26.0,Non-binary,Facebook,45.0,1.0,6.0,3.0,10.0,Sadness
30,31,34.0,Female,LinkedIn,65.0,2.0,13.0,4.0,14.0,Boredom
31,32,28.0,Male,Instagram,145.0,5.0,75.0,20.0,35.0,Happiness
